,time,name,treatment_conc,treatment,d7,host,replicate,r,cell_dmsp
0,1,ehux379,none,none,False,ehux379,r1,689166.8854844372,551333.5083875498
1,2,ehux379,none,none,False,ehux379,r1,1327860.9772754614,1062288.7818203692
2,3,ehux379,none,none,False,ehux379,r1,2374570.534285524,1899656.4274284192
3,4,ehux379,none,none,False,ehux379,r1,3651775.6304691,2921420.5043752803
4,5,ehux379,none,none,False,ehux379,r1,4962709.188298795,3970167.3506390364
5,6,ehux379,none,none,False,ehux379,r1,4887506.552699744,3910005.242159795
6,7,ehux379,none,none,False,ehux379,r1,5294689.103334862,4235751.282667889
7,8,ehux379,none,none,False,ehux379,r1,5383494.914994435,4306795.931995548
8,9,ehux379,none,none,False,ehux379,r1,5258715.042473085,4206972.033978469
9,10,ehux379,none,none,False,ehux379,r1,4844559.637886209,3875647.7103089676
10,11,ehux379,none,none,False,ehux379,r1,4689203.50769965,3751362.80615972
44,1,ehux379,none,none,True,ehux379,r1,717460.5399420192,573968.4319536154
45,2,ehux379,none,none,True,ehux379,r1,1175993.8552788387,940795.084223071
46,3,ehux379,none,none,True,ehux379,r1,1945851.5865331208,1556681.2692264968
47,4,ehux379,none,none,True,ehux379,r1,3599374.2343828175,2879499.387506254
48,5,ehux379,none,none,True,ehux379,r1,5248682.852534671,4198946.282027737
49,6,ehux379,none,none,True,ehux379,r1,5772078.483893025,4617662.78711442
50,7,ehux379,none,none,True,ehux379,r1,5026789.447998026,4021431.5583984214
51,8,ehux379,none,none,True,ehux379,r1,4193500.5640048143,3354800.4512038515
52,9,ehux379,none,none,True,ehux379,r1,2363275.1053757295,1890620.0843005837
53,10,ehux379,none,none,True,ehux379,r1,1946647.656436326,1557318.125149061
54,11,ehux379,none,none,True,ehux379,r1,20405.574787808666,16324.459830246933
472,1,ehux379,none,none,False,ehux379,r1,951567.8265808064,761254.2612646451
473,2,ehux379,none,none,False,ehux379,r1,1665122.3979680233,1332097.9183744187
474,3,ehux379,none,none,False,ehux379,r1,2879988.868575682,2303991.094860546
475,4,ehux379,none,none,False,ehux379,r1,4007314.819155002,3205851.855324002
476,5,ehux379,none,none,False,ehux379,r1,5146997.212220724,4117597.769776579
477,6,ehux379,none,none,False,ehux379,r1,5823751.540971618,4659001.232777295
478,7,ehux379,none,none,False,ehux379,r1,5450134.321376336,4360107.457101068
479,8,ehux379,none,none,False,ehux379,r1,4815395.7579165995,3852316.60633328
480,9,ehux379,none,none,False,ehux379,r1,4819178.153360873,3855342.522688699
481,10,ehux379,none,none,False,ehux379,r1,5346076.06426511,4276860.851412088
482,11,ehux379,none,none,False,ehux379,r1,5739793.664386617,4591834.931509294
483,12,ehux379,none,none,False,ehux379,r1,6042091.316579651,4833673.053263721
484,13,ehux379,none,none,False,ehux379,r1,5424118.811144374,4339295.0489155
524,1,ehux379,none,none,True,ehux379,r1,1022387.6106347508,817910.0885078007
525,2,ehux379,none,none,True,ehux379,r1,1835720.5907939775,1468576.472635182
526,3,ehux379,none,none,True,ehux379,r1,2888197.4364531725,2310557.949162538
527,4,ehux379,none,none,True,ehux379,r1,4100529.594264846,3280423.6754118768
528,5,ehux379,none,none,True,ehux379,r1,5118588.617926482,4094870.8943411857
529,6,ehux379,none,none,True,ehux379,r1,5015564.801338708,4012451.841070967
530,7,ehux379,none,none,True,ehux379,r1,4727038.423698384,3781630.7389587075
531,8,ehux379,none,none,True,ehux379,r1,1890299.0281139151,1512239.222491132
532,9,ehux379,none,none,True,ehux379,r1,1450190.8078980017,1160152.6463184014
533,10,ehux379,none,none,True,ehux379,r1,537815.373634389,430252.2989075112
534,11,ehux379,none,none,True,ehux379,r1,163351.21781305887,130680.9742504471
535,12,ehux379,none,none,True,ehux379,r1,92010.1486653075,73608.118932246
536,13,ehux379,none,none,True,ehux379,r1,40538.48092950863,32430.784743606906
680,1,ehux379,none,none,False,ehux379,r2,705428.1365584199,564342.509246736
681,2,ehux379,none,none,False,ehux379,r2,1292733.694550205,1034186.9556401641
682,3,ehux379,none,none,False,ehux379,r2,2184343.238461325,1747474.59076906
683,4,ehux379,none,none,False,ehux379,r2,3687413.1205153666,2949930.4964122935
684,5,ehux379,none,none,False,ehux379,r2,5085946.990664275,4068757.5925314203
685,6,ehux379,none,none,False,ehux379,r2,5657516.020020764,4526012.816016612
686,7,ehux379,none,none,False,ehux379,r2,5747188.445946066,4597750.756756852
687,8,ehux379,none,none,False,ehux379,r2,5637538.653060786,4510030.9224486295
688,9,ehux379,none,none,False,ehux379,r2,5121901.991062636,4097521.5928501086
689,10,ehux379,none,none,False,ehux379,r2,5020989.354894826,4016791.483915861
690,11,ehux379,none,none,False,ehux379,r2,4875121.485156668,3900097.1881253347
724,1,ehux379,none,none,True,ehux379,r2,704064.9877830744,563251.9902264596
725,2,ehux379,none,none,True,ehux379,r2,1199150.6297890896,959320.5038312717
726,3,ehux379,none,none,True,ehux379,r2,2076896.3664124354,1661517.0931299485
727,4,ehux379,none,none,True,ehux379,r2,3235246.2307805577,2588196.9846244464
728,5,ehux379,none,none,True,ehux379,r2,5257173.655563988,4205738.92445119
729,6,ehux379,none,none,True,ehux379,r2,5244270.623173203,4195416.498538563
730,7,ehux379,none,none,True,ehux379,r2,4547278.61330487,3637822.8906438965
731,8,ehux379,none,none,True,ehux379,r2,4079981.48184607,3263985.1854768563
732,9,ehux379,none,none,True,ehux379,r2,2525428.118490603,2020342.4947924824
733,10,ehux379,none,none,True,ehux379,r2,2093867.201975917,1675093.7615807336
734,11,ehux379,none,none,True,ehux379,r2,84501.90271491095,67601.52217192877
1152,1,ehux379,none,none,False,ehux379,r2,932563.6932280271,746050.9545824217
1153,2,ehux379,none,none,False,ehux379,r2,1700102.963794717,1360082.3710357738
1154,3,ehux379,none,none,False,ehux379,r2,2579809.3452348695,2063847.4761878958
1155,4,ehux379,none,none,False,ehux379,r2,3931517.474996714,3145213.9799973713
1156,5,ehux379,none,none,False,ehux379,r2,4978948.402937612,3983158.7223500893
1157,6,ehux379,none,none,False,ehux379,r2,5177751.646844992,4142201.317475994
1158,7,ehux379,none,none,False,ehux379,r2,5452788.544837488,4362230.83586999
1159,8,ehux379,none,none,False,ehux379,r2,4431847.321169433,3545477.8569355467
1160,9,ehux379,none,none,False,ehux379,r2,4614145.213180567,3691316.170544454
1161,10,ehux379,none,none,False,ehux379,r2,5108771.690261589,4087017.352209272
1162,11,ehux379,none,none,False,ehux379,r2,5292229.021619301,4233783.217295441
1163,12,ehux379,none,none,False,ehux379,r2,5363090.048782209,4290472.039025768
1164,13,ehux379,none,none,False,ehux379,r2,4928205.187850973,3942564.1502807783
1204,1,ehux379,none,none,True,ehux379,r2,964907.4134376748,771925.9307501399
1205,2,ehux379,none,none,True,ehux379,r2,1739012.4240320502,1391209.9392256401
1206,3,ehux379,none,none,True,ehux379,r2,2786012.037787051,2228809.6302296408
1207,4,ehux379,none,none,True,ehux379,r2,4156990.665179803,3325592.5321438424
1208,5,ehux379,none,none,True,ehux379,r2,5138020.016498668,4110416.0131989345
1209,6,ehux379,none,none,True,ehux379,r2,5301224.308452733,4240979.4467621865
1210,7,ehux379,none,none,True,ehux379,r2,4918208.973406084,3934567.1787248673
1211,8,ehux379,none,none,True,ehux379,r2,2058798.7068688504,1647038.9654950805
1212,9,ehux379,none,none,True,ehux379,r2,1818151.495784426,1454521.196627541
1213,10,ehux379,none,none,True,ehux379,r2,894840.6356697667,715872.5085358134
1214,11,ehux379,none,none,True,ehux379,r2,296088.39609644446,236870.7168771556
1215,12,ehux379,none,none,True,ehux379,r2,125858.1311464888,100686.50491719105
1216,13,ehux379,none,none,True,ehux379,r2,60491.20496847945,48392.96397478356
1360,1,ehux379,none,none,False,ehux379,r3,727936.917383018,582349.5339064144
1361,2,ehux379,none,none,False,ehux379,r3,1272671.4592599175,1018137.1674079341
1362,3,ehux379,none,none,False,ehux379,r3,2129243.6975077223,1703394.958006178
1363,4,ehux379,none,none,False,ehux379,r3,3582748.3204025514,2866198.6563220415
1364,5,ehux379,none,none,False,ehux379,r3,4995158.053422956,3996126.442738365
1365,6,ehux379,none,none,False,ehux379,r3,5482554.940240104,4386043.952192083
1366,7,ehux379,none,none,False,ehux379,r3,5511392.951153748,4409114.360922999
1367,8,ehux379,none,none,False,ehux379,r3,5507045.115179755,4405636.092143804
1368,9,ehux379,none,none,False,ehux379,r3,5230025.85013655,4184020.68010924
1369,10,ehux379,none,none,False,ehux379,r3,4896567.5598686375,3917254.04789491
1370,11,ehux379,none,none,False,ehux379,r3,4718192.144082429,3774553.715265943
1404,1,ehux379,none,none,True,ehux379,r3,649737.7113723692,519790.1690978954
1405,2,ehux379,none,none,True,ehux379,r3,1234330.7984977933,987464.6387982346
1406,3,ehux379,none,none,True,ehux379,r3,2006756.0273650922,1605404.8218920738
1407,4,ehux379,none,none,True,ehux379,r3,3391053.7538203727,2712843.0030562985
1408,5,ehux379,none,none,True,ehux379,r3,5182478.89362169,4145983.1148973517
1409,6,ehux379,none,none,True,ehux379,r3,5647971.015376239,4518376.812300991
1410,7,ehux379,none,none,True,ehux379,r3,4806534.37019091,3845227.4961527283
1411,8,ehux379,none,none,True,ehux379,r3,3995759.3359277677,3196607.468742214
1412,9,ehux379,none,none,True,ehux379,r3,2027704.5201649186,1622163.616131935
1413,10,ehux379,none,none,True,ehux379,r3,1510023.987467749,1208019.1899741993
1414,11,ehux379,none,none,True,ehux379,r3,10230.550707054874,8184.440565643899
1832,1,ehux379,none,none,False,ehux379,r3,882668.1824582975,706134.545966638
1833,2,ehux379,none,none,False,ehux379,r3,1670732.4118097743,1336585.9294478195
1834,3,ehux379,none,none,False,ehux379,r3,2813377.892935869,2250702.3143486953
1835,4,ehux379,none,none,False,ehux379,r3,4078699.235933169,3262959.3887465354
1836,5,ehux379,none,none,False,ehux379,r3,5018062.287104623,4014449.8296836987
1837,6,ehux379,none,none,False,ehux379,r3,5540558.800579375,4432447.0404635
1838,7,ehux379,none,none,False,ehux379,r3,5611664.927384485,4489331.941907587
1839,8,ehux379,none,none,False,ehux379,r3,4250543.452198012,3400434.7617584094
1840,9,ehux379,none,none,False,ehux379,r3,4536448.027617234,3629158.422093787
1841,10,ehux379,none,none,False,ehux379,r3,4907223.954873127,3925779.1638985015
1842,11,ehux379,none,none,False,ehux379,r3,4803931.869805686,3843145.495844549
1843,12,ehux379,none,none,False,ehux379,r3,5387414.112621149,4309931.290096919
1844,13,ehux379,none,none,False,ehux379,r3,5036636.2783236,4029309.0226588803
1884,1,ehux379,none,none,True,ehux379,r3,1027976.498494917,822381.1987959336
1885,2,ehux379,none,none,True,ehux379,r3,1744506.3999735774,1395605.1199788619
1886,3,ehux379,none,none,True,ehux379,r3,2911211.5348557383,2328969.2278845906
1887,4,ehux379,none,none,True,ehux379,r3,4045368.1351340404,3236294.5081072324
1888,5,ehux379,none,none,True,ehux379,r3,5151413.774619676,4121131.019695741
1889,6,ehux379,none,none,True,ehux379,r3,5485599.432246378,4388479.545797102
1890,7,ehux379,none,none,True,ehux379,r3,5232062.067296967,4185649.6538375737
1891,8,ehux379,none,none,True,ehux379,r3,2695395.0499813324,2156316.039985066
1892,9,ehux379,none,none,True,ehux379,r3,2287009.9290426625,1829607.94323413
1893,10,ehux379,none,none,True,ehux379,r3,1442797.7616846007,1154238.2093476807
1894,11,ehux379,none,none,True,ehux379,r3,510062.03494582034,408049.6279566563
1895,12,ehux379,none,none,True,ehux379,r3,149613.16346280172,119690.53077024138
1896,13,ehux379,none,none,True,ehux379,r3,71488.23755521135,57190.59004416908
